#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
evt_CK2_209_desc_a;They declined our gift!;;;;;;;;;;;Îíè îòâåðãëè íàø ïîäàðîê!;;x
evt_CK2_534_desc_a;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has resulted in [New.GetTitledName] converting, and becoming a faithful [From.Religion.GetGroupName]. [From.Religion.GetRandomGodNameCap] will surely be pleased!;;;;;;;;;;;[From.Religion.GetCrusadeName] íà çåìëþ [Root.GetBaseName] çàêîí÷èëñÿ òåì, ÷òî [New.GetTitledFirstName], ïðàâèòåëü[New.GetEndNitsa] ýòèõ çåìåëü, ïðèíÿë[New.GetEndA] [From.Religion.GetGroupName][__]. Õâàëà [From.GetReligionHighGodDAT]!;;x
evt_CK2_535_desc_a;I was remiss not to invite you in the first place. You may indeed join my plot to [From.GetPlot].;;;;;;;;;;;Ñ ìîåé ñòîðîíû áûëî óïóùåíèåì íå ïðèãëàñèòü Âàñ â ïåðâóþ î÷åðåäü. Ðàçóìååòñÿ Âû ìîæåòå ïðèñîåäèíèòüñÿ ê ìîåìó çàãîâîðó ñ öåëüþ [From.GetPlot].;;x
evt_CK2_536_desc_a;Why would I want the help of the likes of you with my plot to [From.GetPlot]?;;;;;;;;;;;Çà÷åì ìíå ïîìîùü òàêèõ, êàê Âû, â ìî¸ì çàãîâîðå ñ öåëüþ [From.GetPlot]?;;x
evt_CK2_537_desc_a;I accept your gracious offer. [Root.GetTitledFirstName] will make a fine [Root.GetConsortSexCap]!;;;;;;;;;;;ß ïðèíèìàþ Âàøå ùåäðîå ïðåäëîæåíèå. [Root.GetTitledFirstName] ñòàíåò ïðåêðàñí[Root.GetOyYm] íàëîæíè[Root.GetTseyKom]!;;x
evt_CK2_660_desc_b;That vile hag [From.GetBestName] has forced me to become her consort!;;;;;;;;;;;Ýòî ïîäëàÿ ñòåðâà [From.GetTitledFirstNameWithNick] çàñòàâèë[From.GetEndA] ìåíÿ ñòàòü [From.GetHersHis] íàëîæíè[Root.GetTseyKom]!;;x
evt_CK2_662_desc_b;[FromFrom.GetBestName] has forced my husband [From.GetBestName] to become her consort!;;;;;;;;;;;[FromFrom.GetTitledFirstNameWithNick] ñäåëàë[FromFrom.GetEndA] ìî[From.GetYuEgo] [From.GetHusbandWifeACC] ñâî[From.GetEyIm] íàëîæíè[Root.GetTseyKom]!;;x
evt_534_desc_b;The [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName] has come to an end as [New.GetSheHe] has been overthrown. The [From.Religion.GetGroupName] faithful will be disappointed.;;;;;;;;;;;íà [Root.GetAdjective]ñêóþ çåìëþ çàâåðø¸í, èáî [New.GetTitledName], ïðàâÿù[New.GetAyaIy] ýòîé ñòðàíîé, ñâåðãíóò[New.GetEndA]. Âñå, èñòîâî âåðóþùèå â [From.GetReligionGroupFullName], áóäóò ðàçî÷àðîâàíû.;;x
evt_534_NAME;The [From.Religion.GetCrusadeName] for [Root.GetBaseName];;;;;;;;;;;[From.Religion.GetCrusadeName];;x
evt_534_opt_a;Praise [From.Religion.GetRandomGodName]!;;;;;;;;;;;Ñëàâà òåáå, [From.Religion.GetRandomGodName]!;;x
evt_534_opt_b;Cursed infidels!;;;;;;;;;;;Ïðîêëÿòûå èíîâåðöû!;;x
