desc_job_chancellor;The §Y$JOB$§! is your advisor on matters of diplomacy. The position is traditionally considered the highest on the council.;;;;;;;;;;;§Y$JOB$§! ðåøàåò âñå äèïëîìàòè÷åñêèå âîïðîñû. Ýòà äîëæíîñòü ñ÷èòàåòñÿ ãëàâíåéøåé â ñîâåòå;;x
desc_job_marshal;The §Y$JOB$§! is the councillor in charge of the military. When the ruler cannot or will not command armies, the §Y$JOB$§! will do it.;;;;;;;;;;;§Y$JOB$§! - ñîâåòíèê ïî âîåííûì äåëàì. Åñëè ïðàâèòåëü íå ìîæåò èëè íå æåëàåò êîìàíäîâàòü àðìèåé, §Y$JOB$§! çàìåíÿåò åãî;;x
desc_job_spiritual;The §Y$JOB$§! is your personal advisor on matters of the faith, but does not necessarily have to belong to the clergy.;;;;;;;;;;; §Y$JOB$§! - ýòî Âàø ëè÷íûé ñîâåòíèê ïî âîïðîñàì âåðû. Ïîñâÿùåíèå â Öåðêîâíûé ñàí íå îáÿçàòåëüíî;;x
desc_job_spymaster;§Y$JOB$§! is an unofficial position on the council. The office holder is responsible for all matters of intrigue and skullduggery.;;;;;;;;;;; §Y$JOB$§! - íåîôèöèàëüíàÿ äîëæíîñòü â ñîâåòå. Ýòîò ÷åëîâåê îòâå÷àåò çà äâîðöîâûå èíòðèãè è çàãîâîðû;;x
desc_job_treasurer;The §Y$JOB$§! helps you collect taxes and administer your demesne.;;;;;;;;;;; §Y$JOB$§! ïîìîãàåò ñîáèðàòü íàëîãè è óïðàâëÿòü Âàøèìè âëàäåíèÿìè;;x
city_job_chancellor_arabic;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
city_job_chancellor_aztec;Cihuacoatl;;;;;;;;;;;Ñèóàêîàòëü;;x
city_job_chancellor_greek;Magistros;;;;;;;;;;;Ìàãèñòð;;x
city_job_chancellor_iranian;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
city_job_chancellor_turkish;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
city_job_chancellor_west_african;Grand Vizier;;;;;;;;;;;Âåëèêèé âèçèðü;;x
city_job_chancellor_zoroastrian_group;Astabadh;;;;;;;;;;;Àñòàáàäõ;;x
city_job_marshal_aztec;Tlacateccatl;;;;;;;;;;;Òëàêàòåêêàòëü;;x
city_job_marshal_greek;Protostrator;;;;;;;;;;;Ïðîòîñòðàòîð;;x
city_job_marshal_zoroastrian_group;Eran Spahbod;;;;;;;;;;;Ýðàíñêèé ñïàõáåä;;x
city_job_spiritual_aztec;Sahagun;;;;;;;;;;;Ìåøèêàòëü òåîóàöèí;;x
city_job_spiritual_baltic_pagan;Diviner;;;;;;;;;;;Ïðîðèöàòåëü;;x
