#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTDESC105000;It is a dire decision, to ask the Chief Qadi to grant me divorce from my husband [Root.Spouse.GetTitledFirstName]. I must be certain this is what I want before I make this decision...;;;;;;;;;;;Ýòî òÿæ¸ëîå ðåøåíèå, ïðîñèòü ãëàâíîãî Êàäèÿ äàòü ìíå ðàçâîä ñ ìîèì ìóæåì [Root.Spouse.GetTitledFirstName]. Ìíå íóæíî óáåäèòüñÿ, ÷òî ÿ äåéñòâèòåëüíî ýòîãî õî÷ó, ïðåæäå ÷åì ïðèíÿòü ðåøåíèå...;;x
EVTDESC105001;[From.GetTitledFirstName] came to me to ask to be granted a divorce from her husband [From.Spouse.GetTitledFirstName]. I reminded [From.GetTitledFirstName] about the iddah period, the month she would have to wait before the divorce came through, and asked if her husband [From.Spouse.GetTitledFirstName] would demand compensation and the return of the mahr, the wedding gift her husband gave her when they married.;;;;;;;;;;;[From.GetTitledFirstName] ïðèøëà êî ìíå ñ ïðîñüáîé î ðàçâîäå. ß íàïîìíèë åé ïðî ïåðèîä Èääû è ïðî ìåñÿö, êîòîðûé äîëæåí ïðîéòè, ÷òîáû ðàçâîä ïîäòâåðäèëñÿ. Òàêæå ïðèøëîñü óòî÷íèòü, íå ïðîñèò ëè å¸ ìóæ êîìïåíñàöèþ è âîçâðàùåíèå ìàõðà, ñâàäåáíîãî ïîäàðêà æåíèõà íåâåñòå.;;x
EVTDESC105002;The Chief Qadi [From.GetTitledFirstName] asked me what if my husband [Root.Spouse.GetTitledFirstName] demanded compensation and the return of my mahr, the gift he gave me at the wedding and told me what would happen to any child of our union. [From.GetSheHeCap] also told me I must wait a month, the iddah period, before I could be divorced or, if I was pregnant, until the child was born.;;;;;;;;;;;Ãëàâíûé Êàäèé [From.GetTitledFirstName] ñïðîñèë ìåíÿ, ÷òî áóäåò, åñëè ìîé ìóæ [Root.Spouse.GetTitledFirstName] ïîòðåáóåò êîìïåíñàöèþ è âîçâðàùåíèå ìîåãî ìàõðà, ïîäàðêà îò íåãî ìíå íà ñâàäüáó, åù¸ îí ðàññêàçàë, ÷òî ñëó÷èòüñÿ ñî âñåìè äåòüìè îò íàøåãî ñîþçà. Îí òàêæå ñêàçàë, ÷òî ÿ äîëæíà æäàòü ìåñÿö, ïåðèîä Èääû, ïðåæäå ÷åì ÿ ñìîãó ðàçâåñòèñü, èëè, åñëè ÿ áåðåìåííà, òî ïîêà ðåá¸íîê íå ðîäèòñÿ.;;x
EVTDESC105003;The Chief Qadi [From.GetTitledFirstName] did not grant me a divorce and told me that from what I told [From.GetHerHim] [From.GetSheHe] saw no reason to grant me a divorce from [Root.Spouse.GetTitledFirstName].;;;;;;;;;;;Ãëàâíûé Êàäèé [From.GetTitledFirstName] íå äàðîâàë ìíå ðàçâîä è ñêàçàë, ÷òî íå âèäèò ïîâîäîâ äëÿ ìîåãî ðàçâîäà ñ ìóæåì ([Root.Spouse.GetTitledFirstName]) èç òîãî, ÷òî ÿ ñêàçàëà.;;x
EVTDESC105004;The iddah period has gone and if I am truly certain I want a divorce from [Root.Spouse.GetTitledFirstName] I will have it.;;;;;;;;;;;Ïåðèîä Èääû ïðîø¸ë è, åñëè ìíå äåéñòâèòåëüíî õî÷åòñÿ ðàçâåñòèñü ñ ìóæåì ([Root.Spouse.GetTitledFirstName]), òî ÿ ñäåëàþ ýòî.;;x
EVTDESC105005;My wife [Root.Spouse.GetTitledFirstName] has gone to Chief Qadi [From.GetTitledFirstName] and asked for a divorce! If she still wants it after the iddah period, a month, then our marriage will be no more...;;;;;;;;;;;Ìîÿ æåíà [Root.Spouse.GetTitledFirstName] ïîøëà ê Ãëàâíîìó Êàäèþ ([From.GetTitledFirstName]) è ïîïðîñèëà î ðàçâîäå! Åñëè îíà âñ¸ åù¸ áóäåò õîòåòü ýòîãî ïîñëå ïåðèîäà Èääû, êîòîðûé äëèòñÿ ìåñÿö, òî íàøåãî áðàêà áîëüøå íå áóäåò...;;x
EVTDESC105006;I was on my way home, thinking of ways to tell my husband [From.GetTitledFirstName] that I had asked the Chief Qadi for a divorce, when [From.GetTitledFirstName] caught up with me and asked me why I wanted a divorce! I told [From.GetTitledFirstName] my reasons and [From.GetSheHe] pleaded that I should reconsider, told me he did not want me to divorce [From.GetHerHim]...;;;;;;;;;;;ß áûëà íà ïóòè äîìîé, äóìàÿ î òîì, êàê ñîîáùèòü ìîåìó ìóæó î òîì, ÷òî ÿ ïîïðîñèëà ðàçâîä ó Ãëàâíîãî Êàäèÿ, êîãäà [From.GetTitledFirstName] äîãíàë ìåíÿ è ñïðîñèë, ïî÷åìó ÿ çàõîòåëà ðàçâîäà! ß âûñêàçàëà åìó ñâîè ïðè÷èíû è îí çàÿâèë, ÷òî ÿ äîëæíà ïåðåäóìàòü, ñêàçàë ìíå, ÷òî íå õî÷åò, ÷òîáû ÿ ñ íèì ðàçâîäèëàñü...;;x
EVTDESC105007;I pleaded with [From.GetTitledFirstName], promised her all she would want if only she wouldn't leave me! She told me about her reasons and I told her I would change, that I would do anything, anything!;;;;;;;;;;;[From.GetTitledFirstName] è ÿ ïîãîâîðèëè, ÿ îáåùàë åé âñ¸ ÷òî óãîäíî, åñëè îíà íå îñòàâèò ìåíÿ! Îíà ðàññêàçàëà ìíå î ñâîèõ ìîòèâàõ, à ÿ ñêàçàë åé, ÷òî âñ¸ èçìåíþ è ñäåëàþ âñ¸, ÷òî òðåáóåòñÿ!;;x
EVTDESC105010;I grow more worried for every day no Chief Qadi has been selected. It is as if [Root.Liege.GetTitledFirstName] does not care if just judgement is brought to those who deserve it!;;;;;;;;;;;Ñ êàæäûì äí¸ì ÿ âñ¸ áîëüøå âîëíóþñü, ÷òî Ãëàâíûé Êàäèé íå âûáðàí. [Root.Liege.GetTitledFirstName] áóäòî íå çàáîòèòüñÿ î òîì, íàñòèãíåò ëè ïðàâîñóäèå òåõ, êòî ýòîãî çàñëóæèâàåò!;;x
EVTDESC105011;[From.GetTitledFirstName] worries that the people of my realm lacks just judgement when I still haven't chosen a Chief Qadi to take care of all legal matters. To ease [From.GetHerHis] worry, [From.GetTitledFirstName] came to me and suggested someone who [From.GetSheHe] believe would make an excellent Chief Qadi.;;;;;;;;;;;[From.GetTitledFirstName] âîëíóåòñÿ î òîì, ÷òî ëþäè â ìî¸ì ãîñóäàðñòâå íóæäàþòñÿ â ïðàâîñóäèè, òîãäà êàê ÿ åù¸ íå âûáðàë[Root.GetEndA] Ãëàâíîãî Êàäèÿ äëÿ çàáîòû î âñåõ ïðàâîâûõ âîïðîñàõ. Äëÿ òîãî, ÷òîáû îáëåã÷èòü [From.GetHersHis] áåñïîêîéñòâî, [From.GetTitledFirstName] ïîäîø[From.GetLaYol] êî ìíå è ïðåäëîæèë[From.GetEndA] òîãî, êòî ìîã áû ñòàòü ïðåâîñõîäíûì Ãëàâíûì Êàäèåì.;;x
EVTDESC105012;I had no idea [FromFrom.GetTitledFirstName] would suggest me as [From.GetTitledFirstName]'s new Chief Qadi! The letter congratulating me to my new position and the order to appear before [From.GetTitledFirstName] as soon as possible was bewildering, I almost did not believe it at first.;;;;;;;;;;;ß ïîíÿòèÿ íå èìåë, ÷òî [FromFrom.GetTitledFirstName] ïðåäëîæèë ìåíÿ íà ïîñò íîâîãî Ãëàâíîãî Êàäèÿ ïðè äâîðå ïðàâèòåëÿ ([From.GetTitledFirstName])! Ïèñüìî, ïîçäðàâëÿþùåå ìåíÿ ñ ìîåé íîâîé äîëæíîñòüþ, è ïðèêàç ÿâèòñÿ êî äâîðó êàê ìîæíî áûñòðåå áûëè âíåçàïíûìè, ñíà÷àëà ÿ ïî÷òè íå âåðèë â ýòî.;;x
EVTDESC105013;I suggested that [target_suggested_qadi.GetTitledFirstName] would be [Root.Liege.GetTitledFirstName]'s new Chief Qadi and waited with bated breath as [Root.Liege.GetTitledFirstName] pondered this.;;;;;;;;;;;ß ïðåäëîæèë[Root.GetEndA], ÷òîáû [target_suggested_qadi.GetTitledFirstName] ñòàë íîâûì Ãëàâíûì Êàäèåì è çàòàèâ äûõàíèå æäàë[Root.GetEndA], ïîêà [Root.Liege.GetTitledFirstName] îáäóìûâàë ýòî.;;x
