#CODE;ENGLISH;;;;;;;;;;;RUSSIAN;;x
EVTNAME107000;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107001;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107002;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107003;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107004;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107005;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107006;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107007;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107008;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107009;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107100;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107101;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107102;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107103;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107104;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107202;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107203;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107204;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107205;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107250;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107251;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107252;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107253;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107254;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107300;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107301;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107302;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107303;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107304;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107305;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107306;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107307;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107310;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107311;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107320;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107325;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107326;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107327;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107328;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107329;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107330;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107331;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107332;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107333;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107334;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107340;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107341;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107342;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107343;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107344;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107345;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107350;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTNAME107360;Learning Scenario;;;;;;;;;;;Oáó÷àþùèé ñöåíàðèé;;x
EVTDESC107000;Behold! The world as we know it in the year of our Saviour, 1066. As you can tell, it is divided into distinct regions - Counties - each controlled by some ruler or another. Crusader Kings II is a game about these rulers, their families, relations, intrigue... and power. Be a conqueror or a peaceful family father, as you will, but know that most other characters will lust after more land, more Counties.\n\nCrusader Kings II is a real-time game. Close this window and unpause the game using the speed widget...;;;;;;;;;;;Óçðèòå æå! Ìèð, êàêèì îí áûë â 1066 ãîäó îò ðîæäåíèÿ íàøåãî Ñïàñèòåëÿ. Êàê Âû ìîæåòå çàìåòèòü, îí ðàçäåë¸í íà ìåëêèå ðåãèîíû - ãðàôñòâà (îêðóãà) - êàæäîå èç êîòîðûõ êîíòðîëèðóåò òîò èëè èíîé ïðàâèòåëü. Crusader Kings II - èãðà, ïîâåñòâóþùàÿ îá ýòèõ ïðàâèòåëÿõ, èõ ñåìüå, îòíîøåíèÿõ, èíòðèãàõ... è âëàñòè. Áûòü çàâîåâàòåëåì èëè ìèðîëþáèâûì ñåìüÿíèíîì - ðåøàòü Âàì, íî çíàéòå - äðóãèå ïðàâèòåëè áóäóò æàæäàòü íîâûõ çåìåëü è ìîãóùåñòâà.\n\nCrusader Kings II - ñòðàòåãèÿ ðåàëüíîãî âðåìåíè. Çàêðîéòå ýòî îêíî è ñíèìèòå èãðó ñ ïàóçû ïðè ïîìîùè êíîïêîé ñêîðîñòè â ïðàâîì âåðõíåì óãëó ýêðàíà...;;x
