monastic_order_benedictine;[GetBenedictineSocietyName];;;;;;;;;;;[This.GetBenedictineSocietyName];;x
monastic_order_benedictine_desc;[GetBenedictineSocietyDesc];;;;;;;;;;;[GetBenedictineSocietyDesc];;x
monastic_order_benedictine_desc_random;The Diligent Ones is an old monastic community with 'Ora et Labora', meaning 'pray and labor', as their motto. Often recognized by their black habits, they worship [catholic.GetHighGodName] and find purpose in prayer and quiet contemplation as well as scholarly work.;;;;;;;;;;;"Ïðèëåæíûå - ýòî äðåâíèé ìîíàøåñêèé îðäåí, ÷åé äåâèç ""Ora et Labora"" îçíà÷àåò ""ìîëèòüñÿ è òðóäèòüñÿ"". ×àñòî óçíàâàåìûå ïî ñâîèì ò¸ìíûì îäåæäàì, îíè ïîêëîíÿþòñÿ [catholic.GetHighGodName]ó è íàõîäÿò öåëü â ìîëèòâå è ñïîêîéíîì ñîçåðöàíèè, à òàêæå â íàó÷íîé ðàáîòå.";;x
monastic_order_benedictine_desc_real;The Benedictine Order is an old monastic community with 'Ora et Labora', meaning 'pray and labor', as their motto. Often recognized by their black habits, they worship God and find purpose in prayer and quiet contemplation as well as scholarly work.;;;;;;;;;;;"Îðäåí ñâÿòîãî Áåíåäèêòà - ýòî äðåâíèé ìîíàøåñêèé îðäåí, ÷åé äåâèç ""Ora et Labora"" îçíà÷àåò ""ìîëèòüñÿ è òðóäèòüñÿ"". ×àñòî óçíàâàåìûå ïî ñâîèì ò¸ìíûì îäåæäàì, îíè ïîêëîíÿþòñÿ Áîãó è íàõîäÿò öåëü â ìîëèòâå è ñïîêîéíîì ñîçåðöàíèè, à òàêæå â íàó÷íîé ðàáîòå.";;x
monastic_order_benedictine_random;The Diligent Ones;;;;;;;;;;;Ïðèëåæíûå;;x
monastic_order_benedictine_real;The Benedictine Order;;;;;;;;;;;Áåíåäèêòèíöû;;x
monastic_order_benedictine_leader_desc;[GetSocietyLeaderDesc];;;;;;;;;;;[GetSocietyLeaderDesc];;x
monastic_order_benedictine_rank_1_female;Donatus;;;;;;;;;;;Äîíàòà;;x
monastic_order_benedictine_rank_1_male;Donatus;;;;;;;;;;;Äîíàò;;x
monastic_order_benedictine_rank_2_female;Oblatus;;;;;;;;;;;Îáëàòà;;x
monastic_order_benedictine_rank_2_male;Oblatus;;;;;;;;;;;Îáëàò;;x
monastic_order_benedictine_rank_3_female;Commissus;;;;;;;;;;;Êîìèññà;;x
monastic_order_benedictine_rank_3_male;Commissus;;;;;;;;;;;Êîìèññóñ;;x
monastic_order_benedictine_rank_4_female;Conversus;;;;;;;;;;;Êîíâåðñà;;x
monastic_order_benedictine_rank_4_male;Conversus;;;;;;;;;;;Êîíâåðñóñ;;x
monastic_order_buddhist;[GetSavakaSanghaSocietyName];;;;;;;;;;;[This.GetSavakaSanghaSocietyName];;x
